number,r,g,b
0,205,193,180
0,196,183,170
0,198,184,172
0,204,191,179
0,198,185,173
0,198,185,172
2,238,228,218
2,220,209,198
2,227,216,205
2,208,196,184
2,225,214,203
2,217,205,194
2,215,203,190
2,234,156,112
4,219,206,189
4,220,207,187
4,238,225,201
4,235,222,201
4,217,203,184
4,208,195,177
4,234,221,200
4,233,221,202
4,227,214,192
4,238,209,113
8,238,186,139
8,219,175,137
8,224,176,135
8,243,178,122
8,221,186,152
8,229,177,131
8,238,184,135
8,231,176,130
8,237,189,145
8,229,185,145
8,210,175,143
8,238,184,136
8,240,159,111
16,223,164,126
16,212,163,134
16,226,158,120
16,246,150,100
16,231,156,115
16,233,155,113
16,221,159,125
16,233,155,112
16,232,177,129
16,241,157,108
16,214,177,141
16,234,156,112
32,247,124,95
32,234,134,109
32,225,148,120
32,212,152,132
32,232,136,111
32,222,144,121
32,226,141,117
32,242,131,100
32,242,132,100
32,234,134,108
32,241,136,102
64,247,95,59
64,226,122,93
64,235,118,87
64,220,131,104
64,233,118,88
64,242,104,71
64,234,112,80
128,236,184,115
128,223,201,136
128,232,184,120
128,223,201,137
128,221,199,138
128,235,210,129
128,238,211,125
128,237,208,115
256,221,197,133
256,237,204,98
